name,address,phone,categories,rating,reviews,latitude,longitude,placeid,website,claimed,opening_hours,addr1,addr2,addr3,addr4,addr5,addr6,addr7,thumbnail,row
NaPizza Pécs,"Pécs, Megyeri út 4, 7623",06 30 630 7555,Pizza restaurant,4.7,50,46.0701712,18.213371199999997,ChIJddWCQwazQkcRSkVVa_vBBek,https://napizza.hu/,yes,"Wednesday: 11 AM–9 PM, Thursday: 11 AM–9 PM, Friday: 11 AM–9 PM, Saturday: 11 AM–9 PM, Sunday: 11 AM–9 PM, Monday: 11 AM–9 PM, Tuesday: 11 AM–9 PM",,Megyeri út 4,Megyeri út 4,Pécs,7623,,HU,https://lh5.googleusercontent.com/p/AF1QipNnUwrM5zgpb1wgrm4uhlOXWH7BeE8wkZXmioSS=w360-h270-k-no,0
PIZZERIA D&D CAPRICIOSA PÉCS,"Pécs, Nagymeszes dűlő 1, 7627",06 70 276 4036,"Pizza restaurant, Grill, Cafe, Meal delivery",4.6,337,46.0932576,18.256619399999998,ChIJLa_wdatxXUcR9k-VQBJh2HM,http://www.pizzacapriciosa.hu/,yes,"Wednesday: 11 AM–9:30 PM, Thursday: 11 AM–9:30 PM, Friday: 11 AM–9:30 PM, Saturday: 11 AM–9:30 PM, Sunday: 1–9:30 PM, Monday: 11 AM–9:30 PM, Tuesday: 11 AM–9:30 PM",,Nagymeszes dűlő 1,Nagymeszes dűlő 1,Pécs,7627,,HU,https://lh5.googleusercontent.com/p/AF1QipMZVpMH2NN4t4BQF3er3dc3x6-klvQYR5B7hFyM=w360-h360-k-no,0
Phoenix Pizzeria,"Pécs, Hunyadi János u. 2, 7621",(06 72) 332 010,Restaurant,4.5,676,46.0778813,18.2281405,ChIJC3Sx1aOxQkcRbv725_0Y7vs,http://www.fonixpizza.hu/,yes,"Wednesday: 11:30 AM–10 PM, Thursday: 11:30 AM–10 PM, Friday: 11:30 AM–10 PM, Saturday: 11:30 AM–10 PM, Sunday: Closed, Monday: 11:30 AM–10 PM, Tuesday: 11:30 AM–10 PM",,Hunyadi János u. 2,Hunyadi János u. 2,Pécs,7621,,HU,https://lh5.googleusercontent.com/p/AF1QipMKstrpy0AQm33q0MWWgQt_RqPmNKzEPwfQKRpy=w360-h301-k-no,0
Ciao Pizzéria és Ristorante,"Pécs, Verseny u. 1, 7622",06 70 525 7000,"Pizza restaurant, Breakfast restaurant, Cafe, Italian grocery store, Italian restaurant, Northern Italian restaurant, Pizza delivery, Restaurant, Pizza takeaway, Southern Italian restaurant",4.7,1447,46.066547799999995,18.231040099999998,ChIJ-0c_8HexQkcRSCMosELZxpM,https://www.ciaopizzeria.hu/,yes,"Wednesday: 6 AM–10 PM, Thursday: 6 AM–10 PM, Friday: 6 AM–10 PM, Saturday: 6 AM–10 PM, Sunday: 6 AM–3 PM, Monday: 6 AM–10 PM, Tuesday: 6 AM–10 PM",,Verseny u. 1,Verseny u. 1,Pécs,7622,,HU,https://lh5.googleusercontent.com/p/AF1QipP5Y37hU4SiNrX6_k3sfAtzJmixksSdlJqEx4Q=w360-h480-k-no,0
Stefano Pizza,"Pécs, Rókus u. 3, 7624",06 30 700 8638,Pizza restaurant,4.8,44,46.0742678,18.211417,ChIJz1cbqbCxQkcRAO7UFH9V8HQ,,yes,"Wednesday: 11:30 AM–9 PM, Thursday: 11:30 AM–9 PM, Friday: 11:30 AM–9 PM, Saturday: 11:30 AM–9 PM, Sunday: Closed, Monday: 11:30 AM–9 PM, Tuesday: 11:30 AM–9 PM",,Rókus u. 3,Rókus u. 3,Pécs,7624,,HU,https://lh5.googleusercontent.com/p/AF1QipOlk9J3Nt2AzWCMfnP85_RouxxxJ8T2WID6q8KE=w384-h256-k-no,0
Maestro Pizzeria,"Pécs, Klimó György u. 12, 7624",(06 72) 515 555,"Pizza restaurant, Pizza delivery, Restaurant",3.2,727,46.0767696,18.2208051,ChIJH_pIX7GxQkcR9z6Hoki8F7k,http://maestropizza.hu/,yes,"Wednesday: 11 AM–10 PM, Thursday: 11 AM–10 PM, Friday: 11 AM–10 PM, Saturday: 11 AM–10 PM, Sunday: 11 AM–10 PM, Monday: 11 AM–10 PM, Tuesday: 11 AM–10 PM",,Klimó György u. 12,Klimó György u. 12,Pécs,7624,,HU,https://lh5.googleusercontent.com/p/AF1QipOKq3jQjQ0Lqht2qHS5YIF_1iSMIbJBbUdn5_s0=w360-h270-k-no,0
Elephant Restaurant and Pizzeria,"Pécs, Jókai tér 6, 7621",(06 72) 216 055,Restaurant,4.3,1673,46.0756084,18.227399,ChIJE1AcWJ-xQkcRBudxPDBH5GM,http://elefantos.hu/,yes,"Wednesday: 11:30 AM–11 PM, Thursday: 11:30 AM–11 PM, Friday: 11:30 AM–12 AM, Saturday: 11:30 AM–12 AM, Sunday: 11:30 AM–11 PM, Monday: 11:30 AM–11 PM, Tuesday: 11:30 AM–11 PM",,Jókai tér 6,Jókai tér 6,Pécs,7621,,HU,https://lh5.googleusercontent.com/p/AF1QipNdBGg2yZyeog07_XHXlmLEJnXeSSeyASU9_obx=w360-h480-k-no,0
Giovanni,"Pécs, Nagy Imre utca 43, 7632",(06 72) 446 000,Pizza restaurant,4.5,1030,46.0390069,18.2200083,ChIJOU3WS8izQkcRbJWpIyQtTp0,https://hovamenjek.hu/pecs/giovanni-pizzeria,yes,"Wednesday: 12–11 PM, Thursday: 12–11 PM, Friday: 12 PM–12 AM, Saturday: 12 PM–12 AM, Sunday: 12–10 PM, Monday: 12–11 PM, Tuesday: 12–11 PM",,Nagy Imre utca 43,Nagy Imre utca 43,Pécs,7632,,HU,https://lh5.googleusercontent.com/p/AF1QipMc2dBNSnCXi4ChIGUkk1gAv_yKpw27MMfeH1-d=w455-h256-k-no,0
Tímár26 Pizza,"Pécs, Tímár u. 26, 7621",06 30 587 4545,Restaurant,4.7,243,46.074895999999995,18.2345619,ChIJu8UBJIqxQkcRZHsfp-mzp18,http://www.timar26.hu/,yes,"Wednesday: 11:30 AM–9 PM, Thursday: 11:30 AM–9 PM, Friday: 11:30 AM–9 PM, Saturday: 11:30 AM–9 PM, Sunday: 11:30 AM–9 PM, Monday: 11:30 AM–9 PM, Tuesday: 11:30 AM–9 PM",,Tímár u. 26,Tímár u. 26,Pécs,7621,,HU,https://lh5.googleusercontent.com/p/AF1QipPdH5-HcQnCaZc2gkg0rATBUAjmWsJuHyiQQCOJ=w455-h256-k-no,0
Donkey Pizza,"Pécs, Rákóczi út 50, 7621",06 30 160 4393,"Pizza restaurant, Hamburger restaurant, Pizza delivery, Pizza takeaway",3.6,121,46.072934599999996,18.22924,ChIJoRyzFomxQkcReVNpB0oKibU,https://pizzadonkey.hu/,yes,"Wednesday: 10 AM–10:45 PM, Thursday: 10 AM–10:45 PM, Friday: 10 AM–10:45 PM, Saturday: 10 AM–10:45 PM, Sunday: 10 AM–10:45 PM, Monday: Closed, Tuesday: 10 AM–10:45 PM",,Rákóczi út 50,Rákóczi út 50,Pécs,7621,,HU,https://lh5.googleusercontent.com/p/AF1QipMsWurknJddIegTkwzZ-sV_O5FzChBD08COT8CJ=w360-h270-k-no,0
